Sampling method,testcase,Conformations generated,Unique conformers generated,time,thread_avg,Duplicates after optimization,Incorrect topology after optimization,High-energy conformations (>15 kcal/mol),Low-energy conformations (<15 kcal/mol),"Time per unique
low-energy conformer, s","Time per unique
conformer, s"
XTB metadynamics,csd_CAMVES01,196,196,602.4872493315488,1.0,20,0,140,36,16.735756925876355,3.423223007565618
XTB metadynamics,pdb_3BXR,104,104,603.1843197066337,1.0,0,0,33,71,8.495553798684982,5.799849227948401
XTB metadynamics,csd_VUHHEM,151,151,602.7290208023041,1.0,2,0,59,90,6.696989120025601,4.045161213438283
XTB metadynamics,csd_QUDRIQ,162,162,602.4346983544528,1.0,0,0,137,25,24.097387934178116,3.7187327058916844
XTB metadynamics,csd_YUYYEW,285,285,602.0988491792232,1.0,1,0,113,171,3.521045901632884,2.1200663703493774
XTB metadynamics,csd_MUCYIT,202,202,602.4159312620759,1.0,14,0,95,93,6.477590658731999,3.204340059904659
XTB metadynamics,pdb_1PFE,60,60,607.3369443472475,1.0,0,0,58,2,303.66847217362374,10.122282405787457
XTB metadynamics,pdb_1A7X,64,64,605.3383469283581,1.0,0,0,60,4,151.33458673208952,9.458411670755595
XTB metadynamics,csd_HEBLIJ,92,92,603.2736260760576,1.0,0,0,77,15,40.21824173840384,6.557322022565843
XTB metadynamics,csd_HIKPAS01,372,372,602.042781189084,1.0,221,0,59,92,6.543943273794392,3.9870382860204243
XTB metadynamics,csd_FINWEE10,72,72,603.9393205270171,1.0,0,0,71,1,603.9393205270171,8.388046118430793
XTB metadynamics,pdb_1JFF,78,78,604.1184113826603,1.0,9,0,59,10,60.41184113826603,8.755339295400873
XTB metadynamics,csd_CIYLAY,109,109,603.059308513999,1.0,0,0,87,22,27.411786750636317,5.53265420655045
XTB metadynamics,pdb_3M6G,79,79,603.5455487705767,1.0,0,0,77,2,301.77277438528836,7.639817073045275
XTB metadynamics,csd_WENFOL,81,81,603.9497695304453,1.0,0,0,78,3,201.31658984348178,7.456169994203029
XTB metadynamics,csd_POXTRD10,564,564,601.9782560430467,1.0,119,0,283,162,3.7159151607595478,1.3527601259394308
XTB metadynamics,csd_HAXMOI10,53,53,605.7590698953718,1.0,0,0,45,8,75.71988373692147,11.429416413120222
XTB metadynamics,pdb_3KEE,109,109,603.5116969570518,1.0,1,0,72,36,16.764213804362548,5.588071268120849
XTB metadynamics,pdb_1OSF,112,112,602.8357883580029,1.0,0,0,94,18,33.49087713100016,5.382462396053597
XTB metadynamics,pdb_1QZ5,65,65,604.3705956153572,1.0,0,0,51,14,43.169328258239794,9.298009163313187
XTB metadynamics,csd_QEKNID,61,61,604.4158795773983,1.0,0,0,43,18,33.578659976522125,9.908457042252431
XTB metadynamics,pdb_2XBK,112,112,603.3580357842147,1.0,0,0,107,5,120.67160715684295,5.3871253195019175
XTB metadynamics,pdb_1QZ6,80,80,603.7515378948301,1.0,0,0,71,9,67.08350421053667,7.546894223685376
XTB metadynamics,pdb_1NMK,88,88,603.5385001786053,1.0,0,0,71,17,35.502264716388545,6.858392047484151
XTB metadynamics,csd_BIHYAS10,122,122,602.9202701132745,1.0,0,0,97,25,24.116810804530978,4.9419694271579875
XTB metadynamics,pdb_2VYP,28,28,608.9500545077026,1.0,0,0,19,9,67.6611171675225,21.74821623241795
